<|im_start|>system
Return only the bounded anchored provenance delta. No JSON, code fence, commentary, task action, or readiness judgment.<|im_end|>
<|im_start|>user
You are in bounded semantic-maintenance mode. Select source-grounded meaning from the newly externalized results. Do not continue the task, judge readiness, or authorize closure.

Use this exact plain-text carrier once:
# Anchored provenance-local delta
## CLAIM <UNIQUE_ID>
SLOT_SOURCE: <one newly externalized source ID>
SOURCE_VERSION: <exact 64-hex version>
EVIDENCE_RESULT: <exact newly externalized RESULT ID>
EVIDENCE_ANCHOR: <one exact unique single-line substring copied from that source inside the delivered result>
MODE: source_reported_fact or source_reported_relationship
ATTRIBUTION: owner_source_reported
REFERENTS: NONE or comma-separated exact source IDs named by both the statement and the anchor's containing source line
AUTHORITY: non_authoritative_derivative
STATEMENT: <one complete single-line source-attributed fact or relationship>

The host, not you, resolves the exact anchor, derives its containing complete source line, byte offsets, hashes, source/version binding, and reopen path. Copy only the smallest exact substring that supports the statement. The containing line preserves adjacent context and qualifications. Each claim is admitted independently; rejected claims consume cost and are discarded without repair or retry. A zero-valid update leaves prior state unchanged and ordinary task work continues.

Emit at most 4 claims per source and 8 total, <= 1500 tokenizer tokens overall and <= 650 per source. A fact cannot name an external source. A relationship may name external objects when the owner-source context names them, but cannot mutate their slots or assert their authoritative current state. Cross-source synthesis belongs in exact task work, not this register.

NEW SOURCE VERSIONS
FUEL: b729f4f3e1ffd87cb340013e8fce71546b10ccb86e7d729ecd12e0d42a33a5bc

PRIOR CURRENT RECORDS FOR THESE SOURCES
# Anchored provenance-local source register

EMPTY


AUTHORITATIVE TASK (relevance only; never evidence)
# Keystone Regional Rail Restoration Task

Produce two exact, source-grounded work products for the synthetic Keystone
regional rail network:

1. `EVIDENCE_INTEGRATION_LEDGER.md`, beginning exactly with
   `# Keystone Evidence and Decision Matrix`.
2. `BOUNDED_AGENT_ARCHITECTURE_DECISION.md`, beginning exactly with
   `# Keystone Regional Rail Restoration Decision` and containing exactly
   these ordered level-two headings:

   1. `Authority, scope, and operating states`
   2. `Track, route, and environmental restrictions`
   3. `Signals, cyber controls, and telemetry`
   4. `Traction power, fuel, and staged load`
   5. `Rolling stock, crews, and movement readiness`
   6. `Freight, passengers, accessibility, and communication`
   7. `Execution, rollback, and contingencies`
   8. `Verification, blockers, falsifiers, and closure`

The final decision must contain 1,400–1,900 words excluding bracketed source
citations and cite at least ten distinct exact source IDs. Reconcile authority,
track geometry, signal proving, traction power, rolling stock, staffing,
weather, fuel and spares, cyber controls, monitoring, freight restrictions,
passenger continuity, candidate lineage, and independent readiness.

Bind every action and gate to owners, prerequisites, observations, the current
candidate, falsifiers, rollback, and evidence that retires temporary controls.
Preserve observations versus gates, warning versus stop thresholds, installed
versus usable capacity, percent versus probability, hours versus days,
source-local authority, and current versus stale evidence.

Checks are candidate-bound mechanical feedback. They do not independently
authorize engineering movement, passenger service, or closure.


EXACT NEWLY EXTERNALIZED RESULTS
--- NEWLY EXTERNALIZED RESULT-008 ---
{"object_id":"source:FUEL:1-86","object_version":"b729f4f3e1ffd87cb340013e8fce71546b10ccb86e7d729ecd12e0d42a33a5bc","result_id":"RESULT-008","result_kind":"source_observation","schema":"ceiba-action-result-v1"}
--- exact result body ---
{"end_line":86,"source_id":"FUEL","source_path":"sources/FUEL_MATERIALS.md","source_sha256":"b729f4f3e1ffd87cb340013e8fce71546b10ccb86e7d729ecd12e0d42a33a5bc","source_size_bytes":4908,"start_line":1}
--- exact source range ---
# Fuel, spares, and logistics continuity

## Frozen findings

Backup-plant fuel covers eighteen hours at emergency traction load and eleven hours at full passenger peak. The two consumption regimes must remain distinct.
Replacement switch machines cover 3.5 route-days, while traction sand covers 2.4 operating days. Route-days and operating days are different inventory measures.
Six accessible buses arrive at 07:10 UTC with travel uncertainty of plus or minus forty minutes; planned arrival is not deployed capacity.

## Governing relationships

POWER backup duration depends on FUEL, SIGNAL depends on switch machines, and PASSENGER depends on accessible bus bridging.
WEATHER may alter logistics routes and CREW must qualify receiving and installation teams.

## Operational evidence

| record | asset/zone | version | measure | unit | status |
|---|---|---|---:|---|---|
| FUL-000 | diesel | v4 | 18.0 | hours-cover | superseded |
| FUL-001 | switch-machines | v4 | 19.9 | hours-cover | current |
| FUL-002 | sand | v4 | 18.7 | hours-cover | current |
| FUL-003 | bus-bridges | v4 | 20.6 | hours-cover | current |
| FUL-004 | diesel | v4 | 19.4 | hours-cover | current |
| FUL-005 | switch-machines | v4 | 18.2 | hours-cover | current |
| FUL-006 | sand | v4 | 20.1 | hours-cover | current |
| FUL-007 | bus-bridges | v4 | 18.9 | hours-cover | current |
| FUL-008 | diesel | v4 | 20.8 | hours-cover | current |
| FUL-009 | switch-machines | v4 | 19.6 | hours-cover | current |
| FUL-010 | sand | v4 | 18.4 | hours-cover | current |
| FUL-011 | bus-bridges | v5 | 20.3 | hours-cover | current |
| FUL-012 | diesel | v5 | 19.1 | hours-cover | current |
| FUL-013 | switch-machines | v5 | 21.0 | hours-cover | current |
| FUL-014 | sand | v5 | 19.8 | hours-cover | current |
| FUL-015 | bus-bridges | v5 | 18.6 | hours-cover | current |
| FUL-016 | diesel | v5 | 20.5 | hours-cover | current |
| FUL-017 | switch-machines | v5 | 19.3 | hours-cover | current |
| FUL-018 | sand | v5 | 18.1 | hours-cover | current |
| FUL-019 | bus-bridges | v5 | 20.0 | hours-cover | superseded |
| FUL-020 | diesel | v5 | 18.8 | hours-cover | current |
| FUL-021 | switch-machines | v5 | 20.7 | hours-cover | current |
| FUL-022 | sand | v6 | 19.5 | hours-cover | current |
| FUL-023 | bus-bridges | v6 | 18.3 | hours-cover | current |
| FUL-024 | diesel | v6 | 20.2 | hours-cover | current |
| FUL-025 | switch-machines | v6 | 19.0 | hours-cover | current |
| FUL-026 | sand | v6 | 20.9 | hours-cover | current |
| FUL-027 | bus-bridges | v6 | 19.7 | hours-cover | current |
| FUL-028 | diesel | v6 | 18.5 | hours-cover | current |
| FUL-029 | switch-machines | v6 | 20.4 | hours-cover | current |
| FUL-030 | sand | v6 | 19.2 | hours-cover | current |
| FUL-031 | bus-bridges | v6 | 18.0 | hours-cover | current |
| FUL-032 | diesel | v6 | 19.9 | hours-cover | current |
| FUL-033 | switch-machines | v7 | 18.7 | hours-cover | current |
| FUL-034 | sand | v7 | 20.6 | hours-cover | current |
| FUL-035 | bus-bridges | v7 | 19.4 | hours-cover | current |
| FUL-036 | diesel | v7 | 18.2 | hours-cover | current |
| FUL-037 | switch-machines | v7 | 20.1 | hours-cover | current |
| FUL-038 | sand | v7 | 18.9 | hours-cover | superseded |
| FUL-039 | bus-bridges | v7 | 20.8 | hours-cover | current |
| FUL-040 | diesel | v7 | 19.6 | hours-cover | current |
| FUL-041 | switch-machines | v7 | 18.4 | hours-cover | current |
| FUL-042 | sand | v7 | 20.3 | hours-cover | current |
| FUL-043 | bus-bridges | v7 | 19.1 | hours-cover | current |
| FUL-044 | diesel | v8 | 21.0 | hours-cover | current |
| FUL-045 | switch-machines | v8 | 19.8 | hours-cover | current |
| FUL-046 | sand | v8 | 18.6 | hours-cover | current |
| FUL-047 | bus-bridges | v8 | 20.5 | hours-cover | current |
| FUL-048 | diesel | v8 | 19.3 | hours-cover | current |
| FUL-049 | switch-machines | v8 | 18.1 | hours-cover | current |
| FUL-050 | sand | v8 | 20.0 | hours-cover | current |
| FUL-051 | bus-bridges | v8 | 18.8 | hours-cover | current |
| FUL-052 | diesel | v8 | 20.7 | hours-cover | current |
| FUL-053 | switch-machines | v8 | 19.5 | hours-cover | current |
| FUL-054 | sand | v8 | 18.3 | hours-cover | current |
| FUL-055 | bus-bridges | v9 | 20.2 | hours-cover | current |
| FUL-056 | diesel | v9 | 19.0 | hours-cover | current |
| FUL-057 | switch-machines | v9 | 20.9 | hours-cover | superseded |
| FUL-058 | sand | v9 | 19.7 | hours-cover | current |
| FUL-059 | bus-bridges | v9 | 18.5 | hours-cover | current |
| FUL-060 | diesel | v9 | 20.4 | hours-cover | current |
| FUL-061 | switch-machines | v9 | 19.2 | hours-cover | current |
| FUL-062 | sand | v9 | 18.0 | hours-cover | current |
