<|im_start|>system
Return only the bounded anchored provenance delta. No JSON, code fence, commentary, task action, or readiness judgment.<|im_end|>
<|im_start|>user
You are in bounded semantic-maintenance mode. Select source-grounded meaning from the newly externalized results. Do not continue the task, judge readiness, or authorize closure.

Use this exact plain-text carrier once:
# Anchored provenance-local delta
## CLAIM <UNIQUE_ID>
SLOT_SOURCE: <one newly externalized source ID>
SOURCE_VERSION: <exact 64-hex version>
EVIDENCE_RESULT: <exact newly externalized RESULT ID>
EVIDENCE_ANCHOR: <one exact unique single-line substring copied from that source inside the delivered result>
MODE: source_reported_fact or source_reported_relationship
ATTRIBUTION: owner_source_reported
REFERENTS: NONE or comma-separated exact source IDs named by both the statement and the anchor's containing source line
AUTHORITY: non_authoritative_derivative
STATEMENT: <one complete single-line source-attributed fact or relationship>

The host, not you, resolves the exact anchor, derives its containing complete source line, byte offsets, hashes, source/version binding, and reopen path. Copy only the smallest exact substring that supports the statement. The containing line preserves adjacent context and qualifications. Each claim is admitted independently; rejected claims consume cost and are discarded without repair or retry. A zero-valid update leaves prior state unchanged and ordinary task work continues.

Emit at most 4 claims per source and 8 total, <= 1500 tokenizer tokens overall and <= 650 per source. A fact cannot name an external source. A relationship may name external objects when the owner-source context names them, but cannot mutate their slots or assert their authoritative current state. Cross-source synthesis belongs in exact task work, not this register.

NEW SOURCE VERSIONS
TRACK: ac72bbc05e4884494fb3237efaad511b5a68747011a36e4326e2fbd357ea2acc

PRIOR CURRENT RECORDS FOR THESE SOURCES
# Anchored provenance-local source register

EMPTY


AUTHORITATIVE TASK (relevance only; never evidence)
# Keystone Regional Rail Restoration Task

Produce two exact, source-grounded work products for the synthetic Keystone
regional rail network:

1. `EVIDENCE_INTEGRATION_LEDGER.md`, beginning exactly with
   `# Keystone Evidence and Decision Matrix`.
2. `BOUNDED_AGENT_ARCHITECTURE_DECISION.md`, beginning exactly with
   `# Keystone Regional Rail Restoration Decision` and containing exactly
   these ordered level-two headings:

   1. `Authority, scope, and operating states`
   2. `Track, route, and environmental restrictions`
   3. `Signals, cyber controls, and telemetry`
   4. `Traction power, fuel, and staged load`
   5. `Rolling stock, crews, and movement readiness`
   6. `Freight, passengers, accessibility, and communication`
   7. `Execution, rollback, and contingencies`
   8. `Verification, blockers, falsifiers, and closure`

The final decision must contain 1,400–1,900 words excluding bracketed source
citations and cite at least ten distinct exact source IDs. Reconcile authority,
track geometry, signal proving, traction power, rolling stock, staffing,
weather, fuel and spares, cyber controls, monitoring, freight restrictions,
passenger continuity, candidate lineage, and independent readiness.

Bind every action and gate to owners, prerequisites, observations, the current
candidate, falsifiers, rollback, and evidence that retires temporary controls.
Preserve observations versus gates, warning versus stop thresholds, installed
versus usable capacity, percent versus probability, hours versus days,
source-local authority, and current versus stale evidence.

Checks are candidate-bound mechanical feedback. They do not independently
authorize engineering movement, passenger service, or closure.


EXACT NEWLY EXTERNALIZED RESULTS
--- NEWLY EXTERNALIZED RESULT-002 ---
{"object_id":"source:TRACK:1-86","object_version":"ac72bbc05e4884494fb3237efaad511b5a68747011a36e4326e2fbd357ea2acc","result_id":"RESULT-002","result_kind":"source_observation","schema":"ceiba-action-result-v1"}
--- exact result body ---
{"end_line":86,"source_id":"TRACK","source_path":"sources/TRACK_GEOMETRY.md","source_sha256":"ac72bbc05e4884494fb3237efaad511b5a68747011a36e4326e2fbd357ea2acc","source_size_bytes":5136,"start_line":1}
--- exact source range ---
# Track geometry, inspection, and route restrictions

## Frozen findings

The current north-main alignment deviation is 3.2 millimeters. The passenger-service gate is no more than 4.0 millimeters in two consecutive geometry runs; one 3.2-millimeter run is insufficient.
River-bridge speed is limited to 25 miles per hour until ultrasonic inspection and bearing-temperature evidence are current. Twenty-five is a speed limit, not a probability or inspection count.
A rail replacement, tamping operation, bridge bearing adjustment, sensor calibration, or route-topology change makes earlier geometry evidence stale for the changed candidate.

## Governing relationships

SIGNAL route proving consumes TRACK topology, while WEATHER and LOADS constrain speed and axle restrictions.
LINEAGE records every physical mutation; REVIEW requires current candidate-bound evidence for both geometry runs.

## Operational evidence

| record | asset/zone | version | measure | unit | status |
|---|---|---|---:|---|---|
| TRK-000 | north-main | v4 | 3.0 | millimeters | superseded |
| TRK-001 | river-bridge | v4 | 4.9 | millimeters | current |
| TRK-002 | yard-lead | v4 | 3.7 | millimeters | current |
| TRK-003 | tunnel-approach | v4 | 5.6 | millimeters | current |
| TRK-004 | north-main | v4 | 4.4 | millimeters | current |
| TRK-005 | river-bridge | v4 | 3.2 | millimeters | current |
| TRK-006 | yard-lead | v4 | 5.1 | millimeters | current |
| TRK-007 | tunnel-approach | v4 | 3.9 | millimeters | current |
| TRK-008 | north-main | v4 | 5.8 | millimeters | current |
| TRK-009 | river-bridge | v4 | 4.6 | millimeters | current |
| TRK-010 | yard-lead | v4 | 3.4 | millimeters | current |
| TRK-011 | tunnel-approach | v5 | 5.3 | millimeters | current |
| TRK-012 | north-main | v5 | 4.1 | millimeters | current |
| TRK-013 | river-bridge | v5 | 6.0 | millimeters | current |
| TRK-014 | yard-lead | v5 | 4.8 | millimeters | current |
| TRK-015 | tunnel-approach | v5 | 3.6 | millimeters | current |
| TRK-016 | north-main | v5 | 5.5 | millimeters | current |
| TRK-017 | river-bridge | v5 | 4.3 | millimeters | current |
| TRK-018 | yard-lead | v5 | 3.1 | millimeters | current |
| TRK-019 | tunnel-approach | v5 | 5.0 | millimeters | superseded |
| TRK-020 | north-main | v5 | 3.8 | millimeters | current |
| TRK-021 | river-bridge | v5 | 5.7 | millimeters | current |
| TRK-022 | yard-lead | v6 | 4.5 | millimeters | current |
| TRK-023 | tunnel-approach | v6 | 3.3 | millimeters | current |
| TRK-024 | north-main | v6 | 5.2 | millimeters | current |
| TRK-025 | river-bridge | v6 | 4.0 | millimeters | current |
| TRK-026 | yard-lead | v6 | 5.9 | millimeters | current |
| TRK-027 | tunnel-approach | v6 | 4.7 | millimeters | current |
| TRK-028 | north-main | v6 | 3.5 | millimeters | current |
| TRK-029 | river-bridge | v6 | 5.4 | millimeters | current |
| TRK-030 | yard-lead | v6 | 4.2 | millimeters | current |
| TRK-031 | tunnel-approach | v6 | 3.0 | millimeters | current |
| TRK-032 | north-main | v6 | 4.9 | millimeters | current |
| TRK-033 | river-bridge | v7 | 3.7 | millimeters | current |
| TRK-034 | yard-lead | v7 | 5.6 | millimeters | current |
| TRK-035 | tunnel-approach | v7 | 4.4 | millimeters | current |
| TRK-036 | north-main | v7 | 3.2 | millimeters | current |
| TRK-037 | river-bridge | v7 | 5.1 | millimeters | current |
| TRK-038 | yard-lead | v7 | 3.9 | millimeters | superseded |
| TRK-039 | tunnel-approach | v7 | 5.8 | millimeters | current |
| TRK-040 | north-main | v7 | 4.6 | millimeters | current |
| TRK-041 | river-bridge | v7 | 3.4 | millimeters | current |
| TRK-042 | yard-lead | v7 | 5.3 | millimeters | current |
| TRK-043 | tunnel-approach | v7 | 4.1 | millimeters | current |
| TRK-044 | north-main | v8 | 6.0 | millimeters | current |
| TRK-045 | river-bridge | v8 | 4.8 | millimeters | current |
| TRK-046 | yard-lead | v8 | 3.6 | millimeters | current |
| TRK-047 | tunnel-approach | v8 | 5.5 | millimeters | current |
| TRK-048 | north-main | v8 | 4.3 | millimeters | current |
| TRK-049 | river-bridge | v8 | 3.1 | millimeters | current |
| TRK-050 | yard-lead | v8 | 5.0 | millimeters | current |
| TRK-051 | tunnel-approach | v8 | 3.8 | millimeters | current |
| TRK-052 | north-main | v8 | 5.7 | millimeters | current |
| TRK-053 | river-bridge | v8 | 4.5 | millimeters | current |
| TRK-054 | yard-lead | v8 | 3.3 | millimeters | current |
| TRK-055 | tunnel-approach | v9 | 5.2 | millimeters | current |
| TRK-056 | north-main | v9 | 4.0 | millimeters | current |
| TRK-057 | river-bridge | v9 | 5.9 | millimeters | superseded |
| TRK-058 | yard-lead | v9 | 4.7 | millimeters | current |
| TRK-059 | tunnel-approach | v9 | 3.5 | millimeters | current |
| TRK-060 | north-main | v9 | 5.4 | millimeters | current |
| TRK-061 | river-bridge | v9 | 4.2 | millimeters | current |
| TRK-062 | yard-lead | v9 | 3.0 | millimeters | current |
| TRK-063 | tunnel-approach | v9 | 4.9 | millimeters | current |

## Decision constraints

Preserve observed deviation, gate, run count, speed unit, and candidate currency.
Bind restrictions to falsifiers, rollback, and evidence that retires them.<|im_end|>
<|im_start|>assistant
<think>

</think>

