<|im_start|>system
Return only the bounded anchored provenance delta. No JSON, code fence, commentary, task action, or readiness judgment.<|im_end|>
<|im_start|>user
You are in bounded semantic-maintenance mode. Select source-grounded meaning from the newly externalized results. Do not continue the task, judge readiness, or authorize closure.

Use this exact plain-text carrier once:
# Anchored provenance-local delta
## CLAIM <UNIQUE_ID>
SLOT_SOURCE: <one newly externalized source ID>
SOURCE_VERSION: <exact 64-hex version>
EVIDENCE_RESULT: <exact newly externalized RESULT ID>
EVIDENCE_ANCHOR: <one exact unique single-line substring copied from that source inside the delivered result>
MODE: source_reported_fact or source_reported_relationship
ATTRIBUTION: owner_source_reported
REFERENTS: NONE or comma-separated exact source IDs named by both the statement and the anchor's containing source line
AUTHORITY: non_authoritative_derivative
STATEMENT: <one complete single-line source-attributed fact or relationship>

The host, not you, resolves the exact anchor, derives its containing complete source line, byte offsets, hashes, source/version binding, and reopen path. Copy only the smallest exact substring that supports the statement. The containing line preserves adjacent context and qualifications. Each claim is admitted independently; rejected claims consume cost and are discarded without repair or retry. A zero-valid update leaves prior state unchanged and ordinary task work continues.

Emit at most 4 claims per source and 8 total, <= 1500 tokenizer tokens overall and <= 650 per source. A fact cannot name an external source. A relationship may name external objects when the owner-source context names them, but cannot mutate their slots or assert their authoritative current state. Cross-source synthesis belongs in exact task work, not this register.

NEW SOURCE VERSIONS
CYBER: cde76ff942eecc83603f861eb922c3864e9578b9c13ec9c95b27b0f07b7cfa32

PRIOR CURRENT RECORDS FOR THESE SOURCES
# Anchored provenance-local source register

EMPTY


AUTHORITATIVE TASK (relevance only; never evidence)
# Keystone Regional Rail Restoration Task

Produce two exact, source-grounded work products for the synthetic Keystone
regional rail network:

1. `EVIDENCE_INTEGRATION_LEDGER.md`, beginning exactly with
   `# Keystone Evidence and Decision Matrix`.
2. `BOUNDED_AGENT_ARCHITECTURE_DECISION.md`, beginning exactly with
   `# Keystone Regional Rail Restoration Decision` and containing exactly
   these ordered level-two headings:

   1. `Authority, scope, and operating states`
   2. `Track, route, and environmental restrictions`
   3. `Signals, cyber controls, and telemetry`
   4. `Traction power, fuel, and staged load`
   5. `Rolling stock, crews, and movement readiness`
   6. `Freight, passengers, accessibility, and communication`
   7. `Execution, rollback, and contingencies`
   8. `Verification, blockers, falsifiers, and closure`

The final decision must contain 1,400–1,900 words excluding bracketed source
citations and cite at least ten distinct exact source IDs. Reconcile authority,
track geometry, signal proving, traction power, rolling stock, staffing,
weather, fuel and spares, cyber controls, monitoring, freight restrictions,
passenger continuity, candidate lineage, and independent readiness.

Bind every action and gate to owners, prerequisites, observations, the current
candidate, falsifiers, rollback, and evidence that retires temporary controls.
Preserve observations versus gates, warning versus stop thresholds, installed
versus usable capacity, percent versus probability, hours versus days,
source-local authority, and current versus stale evidence.

Checks are candidate-bound mechanical feedback. They do not independently
authorize engineering movement, passenger service, or closure.


EXACT NEWLY EXTERNALIZED RESULTS
--- NEWLY EXTERNALIZED RESULT-009 ---
{"object_id":"source:CYBER:1-86","object_version":"cde76ff942eecc83603f861eb922c3864e9578b9c13ec9c95b27b0f07b7cfa32","result_id":"RESULT-009","result_kind":"source_observation","schema":"ceiba-action-result-v1"}
--- exact result body ---
{"end_line":86,"source_id":"CYBER","source_path":"sources/CYBER_CONTROL.md","source_sha256":"cde76ff942eecc83603f861eb922c3864e9578b9c13ec9c95b27b0f07b7cfa32","source_size_bytes":5161,"start_line":1}
--- exact source range ---
# Control access, signing, and audit custody

## Frozen findings

The exposed dispatch service account was disabled at 11:25 UTC. The interlocking-signing key was not exposed and remains current under key set K12.
Break-glass control access expires after two hours and requires dual approval plus immutable session logging. Emergency access is not continuing authorization.
Online controller logs are retained for 210 days and archived investigation evidence for six years; the periods serve different obligations.

## Governing relationships

SIGNAL and POWER require CYBER-validated control access; TELEMETRY consumes audit events but cannot authorize access.
Any key-set, role-policy, controller, route-table, or logging mutation makes prior cyber verification stale.

## Operational evidence

| record | asset/zone | version | measure | unit | status |
|---|---|---|---:|---|---|
| CYB-000 | service-account | v4 | 2.0 | hours-access | superseded |
| CYB-001 | logic-signing | v4 | 3.9 | hours-access | current |
| CYB-002 | dispatch-api | v4 | 2.7 | hours-access | current |
| CYB-003 | audit-store | v4 | 4.6 | hours-access | current |
| CYB-004 | service-account | v4 | 3.4 | hours-access | current |
| CYB-005 | logic-signing | v4 | 2.2 | hours-access | current |
| CYB-006 | dispatch-api | v4 | 4.1 | hours-access | current |
| CYB-007 | audit-store | v4 | 2.9 | hours-access | current |
| CYB-008 | service-account | v4 | 4.8 | hours-access | current |
| CYB-009 | logic-signing | v4 | 3.6 | hours-access | current |
| CYB-010 | dispatch-api | v4 | 2.4 | hours-access | current |
| CYB-011 | audit-store | v5 | 4.3 | hours-access | current |
| CYB-012 | service-account | v5 | 3.1 | hours-access | current |
| CYB-013 | logic-signing | v5 | 5.0 | hours-access | current |
| CYB-014 | dispatch-api | v5 | 3.8 | hours-access | current |
| CYB-015 | audit-store | v5 | 2.6 | hours-access | current |
| CYB-016 | service-account | v5 | 4.5 | hours-access | current |
| CYB-017 | logic-signing | v5 | 3.3 | hours-access | current |
| CYB-018 | dispatch-api | v5 | 2.1 | hours-access | current |
| CYB-019 | audit-store | v5 | 4.0 | hours-access | superseded |
| CYB-020 | service-account | v5 | 2.8 | hours-access | current |
| CYB-021 | logic-signing | v5 | 4.7 | hours-access | current |
| CYB-022 | dispatch-api | v6 | 3.5 | hours-access | current |
| CYB-023 | audit-store | v6 | 2.3 | hours-access | current |
| CYB-024 | service-account | v6 | 4.2 | hours-access | current |
| CYB-025 | logic-signing | v6 | 3.0 | hours-access | current |
| CYB-026 | dispatch-api | v6 | 4.9 | hours-access | current |
| CYB-027 | audit-store | v6 | 3.7 | hours-access | current |
| CYB-028 | service-account | v6 | 2.5 | hours-access | current |
| CYB-029 | logic-signing | v6 | 4.4 | hours-access | current |
| CYB-030 | dispatch-api | v6 | 3.2 | hours-access | current |
| CYB-031 | audit-store | v6 | 2.0 | hours-access | current |
| CYB-032 | service-account | v6 | 3.9 | hours-access | current |
| CYB-033 | logic-signing | v7 | 2.7 | hours-access | current |
| CYB-034 | dispatch-api | v7 | 4.6 | hours-access | current |
| CYB-035 | audit-store | v7 | 3.4 | hours-access | current |
| CYB-036 | service-account | v7 | 2.2 | hours-access | current |
| CYB-037 | logic-signing | v7 | 4.1 | hours-access | current |
| CYB-038 | dispatch-api | v7 | 2.9 | hours-access | superseded |
| CYB-039 | audit-store | v7 | 4.8 | hours-access | current |
| CYB-040 | service-account | v7 | 3.6 | hours-access | current |
| CYB-041 | logic-signing | v7 | 2.4 | hours-access | current |
| CYB-042 | dispatch-api | v7 | 4.3 | hours-access | current |
| CYB-043 | audit-store | v7 | 3.1 | hours-access | current |
| CYB-044 | service-account | v8 | 5.0 | hours-access | current |
| CYB-045 | logic-signing | v8 | 3.8 | hours-access | current |
| CYB-046 | dispatch-api | v8 | 2.6 | hours-access | current |
| CYB-047 | audit-store | v8 | 4.5 | hours-access | current |
| CYB-048 | service-account | v8 | 3.3 | hours-access | current |
| CYB-049 | logic-signing | v8 | 2.1 | hours-access | current |
| CYB-050 | dispatch-api | v8 | 4.0 | hours-access | current |
| CYB-051 | audit-store | v8 | 2.8 | hours-access | current |
| CYB-052 | service-account | v8 | 4.7 | hours-access | current |
| CYB-053 | logic-signing | v8 | 3.5 | hours-access | current |
| CYB-054 | dispatch-api | v8 | 2.3 | hours-access | current |
| CYB-055 | audit-store | v9 | 4.2 | hours-access | current |
| CYB-056 | service-account | v9 | 3.0 | hours-access | current |
| CYB-057 | logic-signing | v9 | 4.9 | hours-access | superseded |
| CYB-058 | dispatch-api | v9 | 3.7 | hours-access | current |
| CYB-059 | audit-store | v9 | 2.5 | hours-access | current |
| CYB-060 | service-account | v9 | 4.4 | hours-access | current |
| CYB-061 | logic-signing | v9 | 3.2 | hours-access | current |
